amenities,bathrooms,bedrooms,has_photo,pets_allowed,price,square_feet,cityname,state,latitude,longitude,square_meters,price_per_m2,cluster,pca1,pca2,anomaly
Pool,1.0,1.0,Thumbnail,Unknown,915,219,Littleton,CO,39.5816,-105.0387,20.345757,44.97252178918681,1.0,-2.1590003628419874,1.7862137491741878,1.0
Pool,1.0,1.0,Thumbnail,Unknown,900,219,Waldorf,MD,38.621,-76.9225,20.345757,44.23526733362637,0.0,-2.15184979518066,0.8743123107259492,1.0
Pool,1.0,1.0,Thumbnail,Unknown,865,219,Riverview,FL,27.8492,-82.3155,20.345757,42.51500693731868,0.0,-2.1219163459977137,0.61226953711063,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,725,219,Aurora,CO,39.6828,-104.8078,20.345757,35.633965352087905,1.0,-2.097440642462517,1.075822781845646,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,650,219,Manassas,VA,38.7418,-77.4684,20.345757,31.947693074285713,0.0,-2.0708472094482535,-0.03565751134804799,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,650,219,Decatur,GA,33.7416,-84.2614,20.345757,31.947693074285713,0.0,-2.0623240761015444,0.029757148561109968,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,645,219,Tampa,FL,28.0076,-82.4792,20.345757,31.701941589098897,0.0,-2.050717524027623,-0.19644653486182959,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,595,219,Albuquerque,NM,35.1038,-106.611,20.345757,29.244426737230768,0.0,-2.0473029675015986,0.5220272893441082,1.0
Unknown,1.0,0.0,Thumbnail,"Cats,Dogs",1195,223,Seattle,WA,47.616,-122.3275,20.717369,57.68106944467707,1.0,-2.7962624798300997,3.5693831220401364,-1.0
Unknown,1.0,0.0,Thumbnail,Unknown,1150,225,Seattle,WA,47.616,-122.3275,20.903175,55.01556581715457,1.0,-2.7727336230481123,3.373534023607369,1.0
"Cable or Satellite,Dishwasher,Internet Access,Parking,Refrigerator",1.0,1.0,Thumbnail,Cats,942,225,Chicago,IL,41.8625,-87.6825,20.903175,45.064924347617044,1.0,-2.1464838082716016,1.3579702130732898,1.0
Unknown,1.0,0.0,Thumbnail,"Cats,Dogs",1250,228,Seattle,WA,47.616,-122.3275,21.181884,59.01269216657026,1.0,-2.7883750134493828,3.687621780812378,-1.0
Unknown,1.0,1.0,Thumbnail,Unknown,800,230,Gastonia,NC,35.224,-81.1809,21.36769,37.43970452585188,0.0,-2.0735987533154647,0.4177477758952012,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,685,230,Wimauma,FL,27.7011,-82.3178,21.36769,32.057747000260676,0.0,-2.027185573179631,-0.16266924423758594,1.0
Unknown,1.0,1.0,Thumbnail,"Cats,Dogs",525,230,Memphis,TN,35.1211,-89.9517,21.36769,24.569806095090296,0.0,-1.993759514190704,-0.3080179506203101,1.0
Unknown,1.0,0.0,Thumbnail,Cats,1095,231,Seattle,WA,47.616,-122.3275,21.460593,51.02375316469587,1.0,-2.729206154958213,3.0879143288373787,1.0
"Dishwasher,Refrigerator",1.0,0.0,Thumbnail,"Cats,Dogs",1695,232,San Francisco,CA,37.7599,-122.4379,21.553496,78.64153453342325,1.0,-2.878430767148977,4.938251951593353,-1.0
Unknown,1.0,1.0,Thumbnail,Cats,775,240,Bellingham,WA,48.7871,-122.4437,22.29672,34.75847568610988,1.0,-2.0573393756714924,1.8178819259031447,1.0
Unknown,1.0,0.0,Thumbnail,"Cats,Dogs",1299,243,Seattle,WA,47.616,-122.3275,22.575429,57.540434779777605,1.0,-2.730466239428791,3.6257370248351815,-1.0
Dishwasher,1.0,1.0,Thumbnail,"Cats,Dogs",705,245,Anchorage,AK,61.1723,-149.8414,22.761235,30.97371473911675,1.0,-2.046003342806576,2.6792881751649915,-1.0
Unknown,1.0,1.0,Thumbnail,Unknown,1800,250,Pacifica,CA,37.6019,-122.4863,23.22575,77.50018836851339,1.0,-2.247564822118744,4.849349383167082,1.0
Pool,1.0,1.0,Thumbnail,Unknown,1600,250,Marina Del Rey,CA,33.9855,-118.4532,23.22575,68.88905632756746,1.0,-2.1941303987244005,3.965082119945835,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,1500,250,San Francisco,CA,37.7599,-122.4379,23.22575,64.5834903070945,1.0,-2.1772244565702152,3.8510466439749154,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,1330,250,Studio City,CA,34.145,-118.3898,23.22575,57.26402807229045,1.0,-2.130853638237055,3.066491480038453,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,1310,250,Moorpark,CA,34.2805,-118.8861,23.22575,56.40291486819586,1.0,-2.1263918467240814,3.0180652088383426,1.0
Pool,1.0,1.0,Thumbnail,Unknown,1300,250,Torrance,CA,33.8363,-118.333,23.22575,55.97235826614856,1.0,-2.123255756873061,2.95635552428417,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,1295,250,Sacramento,CA,38.5587,-121.432,23.22575,55.75707996512491,1.0,-2.130335360159563,3.158822638599023,1.0
Pool,1.0,1.0,Thumbnail,Unknown,1255,250,Lake Balboa,CA,34.2017,-118.492,23.22575,54.03485355693572,1.0,-2.113300858676078,2.8207556093415183,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,1250,250,Seattle,WA,47.616,-122.3275,23.22575,53.81957525591208,1.0,-2.135469087962528,3.279917706782801,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,1250,250,North Hollywood,CA,34.1881,-118.3905,23.22575,53.81957525591208,1.0,-2.112098179581722,2.8007053039538072,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,1200,250,Denver,CO,39.736,-104.9819,23.22575,51.666792245675595,1.0,-2.1096583461870484,2.387902109474387,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,1200,250,Aurora,CO,39.6828,-104.8078,23.22575,51.666792245675595,1.0,-2.1095623065248446,2.381323500089169,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,1175,250,Brentwood,CA,37.9353,-121.6935,23.22575,50.59040074055735,1.0,-2.101014688840871,2.7492350496564883,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,1155,250,San Rafael,CA,37.9917,-122.5247,23.22575,49.729287536462756,1.0,-2.0964230121682688,2.7085590877930357,1.0
Pool,1.0,1.0,Thumbnail,Unknown,1150,250,North Potomac,MD,39.1088,-77.2384,23.22575,49.51400923543911,0.0,-2.096198583595372,1.3849210751692331,1.0
Pool,1.0,1.0,Thumbnail,Unknown,1145,250,Andover,MA,42.6484,-71.1615,23.22575,49.29873093441546,0.0,-2.1010275750073926,1.2844835075007344,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,1135,250,Oakland,CA,37.7904,-122.2151,23.22575,48.86817433236816,1.0,-2.0913596528209144,2.6272334070645518,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,1115,250,San Pablo,CA,37.9724,-122.3304,23.22575,48.00706112827357,1.0,-2.0869702124584855,2.5688144496084764,1.0
Unknown,1.0,0.0,Thumbnail,Unknown,1095,250,Chicago,IL,41.8625,-87.6825,23.22575,47.14594792417898,1.0,-2.640200390491937,1.6650731901149673,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,1090,250,Alexandria,VA,38.7999,-77.1072,23.22575,46.93066962315533,0.0,-2.0815374075917537,1.1724684862872115,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,1075,250,Chicago,IL,41.8625,-87.6825,23.22575,46.28483472008438,1.0,-2.083547541418485,1.5174478264244957,1.0
Pool,1.0,1.0,Thumbnail,Unknown,1050,250,Thousand Oaks,CA,34.2009,-118.8636,23.22575,45.208443214966145,1.0,-2.0650551292791333,2.1475906336562463,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,1050,250,Denver,CO,39.736,-104.9819,23.22575,45.208443214966145,1.0,-2.074351695826475,1.8873298522919006,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,1045,250,Burke,VA,38.786,-77.2858,23.22575,44.99316491394249,0.0,-2.0709251919775276,1.0271945239015354,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,1025,250,Bellevue,WA,47.5988,-122.1507,23.22575,44.1320517098479,1.0,-2.0824754416003928,2.5233740973490595,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,1025,250,Unknown,Unknown,39.8163,-98.5576,23.22575,44.1320517098479,1.0,-2.0684668127395462,1.6163842788509397,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,1005,250,Wilton,CA,38.3918,-121.2234,23.22575,43.27093850575331,1.0,-2.061781879291052,2.1803789349888185,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,1000,250,Woodland Hills,CA,34.1677,-118.6141,23.22575,43.05566020472966,1.0,-2.053223248643647,1.9724689183506445,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,1000,250,Miami,FL,25.7603,-80.3005,23.22575,43.05566020472966,0.0,-2.0378109001665305,0.6139419543295943,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,1000,250,Hyattsville,MD,38.9633,-76.9375,23.22575,43.05566020472966,0.0,-2.0606330791427263,0.8715313023913287,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,1000,250,Westminster,CO,39.8644,-105.0454,23.22575,43.05566020472966,1.0,-2.0628068513719384,1.7258181191343271,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,1000,250,Aurora,CO,39.6828,-104.8078,23.22575,43.05566020472966,1.0,-2.0624867727107468,1.7138938238458539,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,1000,250,Arvada,CO,39.8228,-105.1107,23.22575,43.05566020472966,1.0,-2.062736132748375,1.726621723358272,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,1000,250,Seal Beach,CA,33.7606,-118.0806,23.22575,43.05566020472966,1.0,-2.052505696722176,1.9457122793022394,1.0
Pool,1.0,1.0,Thumbnail,Unknown,975,250,San Marcos,CA,33.1463,-117.1694,23.22575,41.97926869961142,1.0,-2.0455361851651896,1.8187739778703547,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,965,250,Medford Lakes,NJ,39.8587,-74.8101,23.22575,41.54871209756412,0.0,-2.053901314590168,0.716119664269324,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,955,250,Glen Burnie,MD,39.1634,-76.6165,23.22575,41.118155495516824,0.0,-2.0503810973650216,0.7172904571412804,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,950,250,Littleton,CO,39.5816,-105.0387,23.22575,40.90287719449318,1.0,-2.0505474191507047,1.5511185727839678,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,950,250,Aurora,CO,39.6828,-104.8078,23.22575,40.90287719449318,1.0,-2.0507178892572226,1.547036404785025,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,930,250,Concord,CA,37.9682,-122.0091,23.22575,40.041763990398586,1.0,-2.043411074144223,1.9418415884242128,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,925,250,Lafayette,CO,39.9999,-105.0993,23.22575,39.826485689374934,1.0,-2.0453896685490336,1.4807861399455597,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,925,250,Chula Vista,CA,32.6197,-117.0226,23.22575,39.826485689374934,1.0,-2.032850933382373,1.6333476617709386,1.0
Pool,1.0,1.0,Thumbnail,Unknown,925,250,Glen Burnie,MD,39.1634,-76.6165,23.22575,39.826485689374934,0.0,-2.0433197672929073,0.6171760057047833,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,915,250,Highlands Ranch,CO,39.5516,-104.969,23.22575,39.39592908732764,1.0,-2.0422556622239485,1.4314494558528377,1.0
Pool,1.0,1.0,Thumbnail,Unknown,900,250,Laurel,MD,39.0976,-76.8614,23.22575,38.750094184256696,0.0,-2.0373265469648927,0.539199724875689,1.0
Pool,1.0,1.0,Thumbnail,Unknown,900,250,Orlando,FL,28.5163,-81.3644,23.22575,38.750094184256696,0.0,-2.0190754423533037,0.38613719489527787,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,900,250,Boulder,CO,40.0213,-105.2552,23.22575,38.750094184256696,1.0,-2.039545726409689,1.4025390783174434,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,900,250,Aurora,CO,39.6828,-104.8078,23.22575,38.750094184256696,1.0,-2.038949005803698,1.3801789857241962,1.0
Pool,1.0,1.0,Thumbnail,Unknown,900,250,La Puente,CA,34.0291,-117.9457,23.22575,38.750094184256696,1.0,-2.029430602033547,1.6152720686823603,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,900,250,Anaheim,CA,33.8323,-117.9079,23.22575,38.750094184256696,1.0,-2.029088509509269,1.6088363110952377,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,895,250,Commerce City,CO,39.8312,-104.8942,23.22575,38.534815883233044,1.0,-2.0380313363651,1.370055703016057,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,895,250,Arvada,CO,39.8228,-105.1107,23.22575,38.534815883233044,1.0,-2.0380214774959735,1.3762211433305311,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,875,250,Arlington,VA,38.8738,-77.1055,23.22575,37.67370267913845,0.0,-2.0310593216633017,0.4569289624690181,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,865,250,Naples,FL,26.1806,-81.7257,23.22575,37.243146077091154,0.0,-2.006794745920147,0.2168691952258768,1.0
Pool,1.0,1.0,Thumbnail,Unknown,865,250,Atlanta,GA,33.7848,-84.3922,23.22575,37.243146077091154,0.0,-2.020039158644661,0.5011490661222617,1.0
Pool,1.0,1.0,Thumbnail,Unknown,860,250,Sarasota,FL,27.3181,-82.4987,23.22575,37.02786777606751,0.0,-2.007607202781334,0.25375497008175774,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,855,250,Aurora,CO,39.6828,-104.8078,23.22575,36.81258947504386,1.0,-2.028357010695526,1.2300073085694498,1.0
Pool,1.0,1.0,Thumbnail,Unknown,850,250,Lorton,VA,38.69,-77.2065,23.22575,36.59731117402021,0.0,-2.0248583487503935,0.371514180800894,1.0
"Cable or Satellite,Internet Access,Parking,Refrigerator",1.0,1.0,Thumbnail,Unknown,850,250,Fort Lupton,CO,40.0994,-104.8079,23.22575,36.59731117402021,1.0,-2.027902550000373,1.224585534607609,1.0
Pool,1.0,1.0,Thumbnail,Unknown,850,250,Woodbridge,VA,38.6487,-77.3152,23.22575,36.59731117402021,0.0,-2.0247890940426205,0.3736073466510264,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,850,250,Nashville,TN,36.137,-86.783,23.22575,36.59731117402021,0.0,-2.020639425698659,0.5852656806504359,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,850,250,Saint Petersburg,FL,27.7873,-82.6772,23.22575,36.59731117402021,0.0,-2.0060709464427373,0.2383368093197351,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,850,250,Portland,OR,45.5091,-122.6449,23.22575,36.59731117402021,1.0,-2.037671349519628,1.897478970552764,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,825,250,Joppa,MD,39.4324,-76.3552,23.22575,35.52091966890197,0.0,-2.0202427912218464,0.2830171541737842,1.0
Pool,1.0,1.0,Thumbnail,Unknown,805,250,Atlanta,GA,33.7848,-84.3922,23.22575,34.659806464807374,0.0,-2.0059164985004316,0.30092016324926724,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,800,250,Broomfield,CO,39.9156,-105.0876,23.22575,34.44452816378373,1.0,-2.015821020999549,1.0610184384198882,1.0
Pool,1.0,1.0,Thumbnail,Unknown,800,250,Englewood,CO,39.6169,-104.919,23.22575,34.44452816378373,1.0,-2.015299379723177,1.0479661730992895,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,800,250,Potomac,MD,39.0287,-77.2409,23.22575,34.44452816378373,0.0,-2.0136775524828283,0.21482779412039874,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,800,250,Deltona,FL,28.905,-81.2156,23.22575,34.44452816378373,0.0,-1.9962084840756047,0.058535662735661215,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,800,250,Lodi,CA,38.1255,-121.2878,23.22575,34.44452816378373,1.0,-2.013069066983602,1.4909667350307518,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,800,250,Jacksonville,FL,30.2989,-81.6324,23.22575,34.44452816378373,0.0,-1.9986347069776105,0.10852050861769133,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,795,250,Parker,CO,39.4904,-104.7265,23.22575,34.22924986276008,1.0,-2.013898942200245,1.0221771784074434,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,785,250,Fountain,CO,38.6968,-104.6969,23.22575,33.79869326071278,1.0,-2.010168341242307,0.9664800962102528,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,785,250,Fort Collins,CO,40.5649,-105.0824,23.22575,33.79869326071278,1.0,-2.013416193114592,1.0283587481431744,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,760,250,Loveland,CO,40.4067,-105.0984,23.22575,32.72230175559454,1.0,-2.007257764892423,0.9411261969722937,1.0
Pool,1.0,1.0,Thumbnail,Unknown,755,250,Longwood,FL,28.7026,-81.3885,23.22575,32.50702345457089,0.0,-1.9852692669353549,-0.09200189956627661,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,755,250,Bear,DE,39.6103,-75.6896,23.22575,32.50702345457089,0.0,-2.004060377773018,0.03457266634148901,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,755,250,Hummelstown,PA,40.2776,-76.7088,23.22575,32.50702345457089,0.0,-2.0052397031724882,0.08270375632635726,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,750,250,Riverside,CA,33.945,-117.4074,23.22575,32.29174515354725,1.0,-1.993966409227739,1.096532380999097,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,750,250,Port Saint Lucie,FL,27.2897,-80.3421,23.22575,32.29174515354725,0.0,-1.9816195178414018,-0.17777598955765436,1.0
Pool,1.0,1.0,Thumbnail,Unknown,750,250,Germantown,MD,39.1774,-77.2569,23.22575,32.29174515354725,0.0,-2.0021668773935346,0.05246227415884935,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,750,250,Charlotte,NC,35.2016,-80.8124,23.22575,32.29174515354725,0.0,-1.9953497587031204,0.049975031115533745,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,725,250,Nashville,TN,36.137,-86.783,23.22575,31.215353648429005,0.0,-1.9912172170648483,0.1681221329983639,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,725,250,Hiram,GA,33.8691,-84.7686,23.22575,31.215353648429005,0.0,-1.9872406538987892,0.04734078048365669,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,720,250,Converse,TX,29.4782,-98.2759,23.22575,31.000075347405357,0.0,-1.978743213697232,0.31078967596052465,1.0
Pool,1.0,1.0,Thumbnail,Unknown,705,250,Houston,TX,29.7714,-95.4343,23.22575,30.354240444334412,0.0,-1.9756591988415086,0.18475521670659198,1.0
Pool,1.0,1.0,Thumbnail,Unknown,700,250,Apache Junction,AZ,33.4234,-111.5415,23.22575,30.138962143310764,0.0,-1.9811654722740824,0.7423759097745242,1.0
Pool,1.0,1.0,Thumbnail,Unknown,700,250,Austin,TX,30.3054,-97.7497,23.22575,30.138962143310764,0.0,-1.9754586650241384,0.25086968218607303,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,700,250,Broomfield,CO,39.9156,-105.0876,23.22575,30.138962143310764,0.0,-1.9922832540925002,0.7273036002982306,1.0
Pool,1.0,1.0,Thumbnail,Unknown,700,250,Scottsdale,AZ,33.5783,-111.8902,23.22575,30.138962143310764,0.0,-1.9814416662524401,0.7568588837597753,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,700,250,Orlando,FL,28.5163,-81.3644,23.22575,30.138962143310764,0.0,-1.9719999085392061,-0.2812924813480376,1.0
Pool,1.0,1.0,Thumbnail,Unknown,700,250,Baltimore,MD,39.3191,-76.6126,23.22575,30.138962143310764,0.0,-1.9906297061024159,-0.12958884404191506,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,700,250,Centennial,CO,39.6041,-104.8594,23.22575,30.138962143310764,0.0,-1.9917381204163316,0.7121455586735849,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,700,250,Lakewood,CO,39.6894,-105.1119,23.22575,30.138962143310764,0.0,-1.991891529367,0.7219067372573446,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,700,250,Kyle,TX,30.0066,-97.8071,23.22575,30.138962143310764,0.0,-1.9749417644642597,0.24448771475430897,1.0
"Internet Access,Parking,Refrigerator",1.0,0.0,Thumbnail,"Cats,Dogs",695,250,Cedar Falls,IA,42.5286,-92.4509,23.22575,29.923683842287115,0.0,-2.54730808965694,0.4890134429911444,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,695,250,Summit,IL,41.7834,-87.8099,23.22575,29.923683842287115,0.0,-1.9939696301482728,0.25095499116329334,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,685,250,Columbia,SC,34.0505,-81.0098,23.22575,29.49312724023982,0.0,-1.9780583815678978,-0.19222618180811107,1.0
Pool,1.0,1.0,Thumbnail,Unknown,685,250,Phoenix,AZ,33.5178,-112.0848,23.22575,29.49312724023982,0.0,-1.977810319618426,0.7109121641664022,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,675,250,Houston,TX,29.7714,-95.4343,23.22575,29.062570638192522,0.0,-1.9685978687693941,0.08464076527009472,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,675,250,Coon Rapids,MN,45.1748,-93.3109,23.22575,29.062570638192522,0.0,-1.9952627120656035,0.4383097162176825,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,660,250,Phoenix,AZ,33.5178,-112.0848,23.22575,28.416735735121577,0.0,-1.9719258778916637,0.6274834546359879,1.0
Pool,1.0,1.0,Thumbnail,Unknown,650,250,Baltimore,MD,39.3191,-76.6126,23.22575,27.98617913307428,0.0,-1.9788608226488913,-0.2964462631027439,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,650,250,Salem,OR,44.9545,-123.0072,23.22575,27.98617913307428,1.0,-1.989641962446149,1.2257555040486388,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,650,250,Chiefland,FL,29.4832,-82.8641,23.22575,27.98617913307428,0.0,-1.9619403343795068,-0.377732885555192,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,650,250,San Antonio,TX,29.4624,-98.5253,23.22575,27.98617913307428,0.0,-1.9622448010385798,0.08412612554569217,1.0
Pool,1.0,1.0,Thumbnail,Unknown,650,250,Antioch,TN,36.0402,-86.6385,23.22575,27.98617913307428,0.0,-1.973392889143586,-0.08904716021742969,1.0
Pool,1.0,1.0,Thumbnail,Unknown,645,250,Surfside Beach,SC,33.6285,-78.9873,23.22575,27.770900832050632,0.0,-1.9678675081147692,-0.39683655178457306,1.0
Pool,1.0,1.0,Thumbnail,Unknown,645,250,Charlotte,NC,35.2016,-80.8124,23.22575,27.770900832050632,0.0,-1.970635103450719,-0.3004255489122069,1.0
Pool,1.0,1.0,Thumbnail,Unknown,625,250,Venice,FL,27.0717,-82.3833,23.22575,26.90978762795604,0.0,-1.9518636594067036,-0.5405426433757158,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,610,250,Phoenix,AZ,33.5178,-112.0848,23.22575,26.263952724885094,0.0,-1.9601569944381394,0.46062603557515913,1.0
Pool,1.0,1.0,Thumbnail,Unknown,600,250,Spring Hill,FL,28.473,-82.5474,23.22575,25.833396122837797,0.0,-1.9484127782225023,-0.5812478393167071,1.0
Pool,1.0,1.0,Thumbnail,Unknown,600,250,Tucson,AZ,32.2264,-110.9438,23.22575,25.833396122837797,0.0,-1.9555389930034428,0.35865722930560395,1.0
Pool,1.0,1.0,Thumbnail,Unknown,600,250,Dunwoody,GA,33.9369,-84.306,23.22575,25.833396122837797,0.0,-1.9579259584116246,-0.3816290649220791,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,600,250,Santa Cruz,CA,36.9873,-122.016,23.22575,25.833396122837797,1.0,-1.964035616069527,0.8142718817695659,1.0
Unknown,1.0,1.0,Thumbnail,Unknown,600,250,Tampa,FL,28.0076,-82.4792,23.22575,25.833396122837797,0.0,-1.9476042457996523,-0.5958416666831583,1.0
